pose_0_x,pose_0_y,pose_0_z,pose_1_x,pose_1_y,pose_1_z,pose_2_x,pose_2_y,pose_2_z,pose_3_x,pose_3_y,pose_3_z,pose_4_x,pose_4_y,pose_4_z,pose_5_x,pose_5_y,pose_5_z,pose_6_x,pose_6_y,pose_6_z,pose_7_x,pose_7_y,pose_7_z,pose_8_x,pose_8_y,pose_8_z,pose_9_x,pose_9_y,pose_9_z,pose_10_x,pose_10_y,pose_10_z,pose_11_x,pose_11_y,pose_11_z,pose_12_x,pose_12_y,pose_12_z,pose_13_x,pose_13_y,pose_13_z,pose_14_x,pose_14_y,pose_14_z,pose_15_x,pose_15_y,pose_15_z,pose_16_x,pose_16_y,pose_16_z,pose_17_x,pose_17_y,pose_17_z,pose_18_x,pose_18_y,pose_18_z,pose_19_x,pose_19_y,pose_19_z,pose_20_x,pose_20_y,pose_20_z,pose_21_x,pose_21_y,pose_21_z,pose_22_x,pose_22_y,pose_22_z,pose_23_x,pose_23_y,pose_23_z,pose_24_x,pose_24_y,pose_24_z,pose_25_x,pose_25_y,pose_25_z,pose_26_x,pose_26_y,pose_26_z,pose_27_x,pose_27_y,pose_27_z,pose_28_x,pose_28_y,pose_28_z,pose_29_x,pose_29_y,pose_29_z,pose_30_x,pose_30_y,pose_30_z,pose_31_x,pose_31_y,pose_31_z,pose_32_x,pose_32_y,pose_32_z
0.00948,0.59615,-0.32957,0.02373,0.62004,-0.32127,0.02459,0.6192,-0.30922,0.02423,0.61948,-0.31399,0.00051,0.63147,-0.33954,-1e-05,0.62879,-0.3523,0.00606,0.61528,-0.33245,0.06237,0.62307,-0.21244,-0.07316,0.57522,-0.24279,0.03835,0.59321,-0.2764,0.00275,0.55795,-0.30972,0.14797,0.47009,-0.07291,-0.13846,0.51773,-0.10383,0.18085,0.26221,-0.0281,-0.17917,0.21932,-0.14937,0.18857,0.02771,0.01807,-0.1562,0.00034,-0.2027,0.17567,-0.02158,0.03146,-0.13206,-0.04242,-0.25096,0.14975,-0.03713,0.00843,-0.08329,-0.02506,-0.26237,0.18203,-0.00637,0.01326,-0.13752,-0.0056,-0.21556,0.09056,-0.00042,0.04893,-0.08804,0.00316,-0.04738,0.12375,-0.38297,0.09267,-0.0547,-0.32057,0.00278,0.12547,-0.66336,0.30689,-0.09658,-0.63461,0.23603,0.10787,-0.69451,0.33349,-0.10025,-0.66106,0.21751,0.17155,-0.7281,0.30631,-0.08028,-0.69984,0.15197
0.00984,0.59606,-0.32969,0.02386,0.61993,-0.32155,0.02469,0.6191,-0.30949,0.02434,0.61937,-0.31423,0.00062,0.63127,-0.33974,8e-05,0.62856,-0.3525,0.00617,0.61504,-0.33266,0.06241,0.62311,-0.21287,-0.07304,0.57487,-0.24314,0.03869,0.5932,-0.27648,0.00317,0.5578,-0.30979,0.14827,0.47005,-0.07325,-0.13804,0.51785,-0.10416,0.18006,0.26102,-0.02858,-0.17765,0.21934,-0.14913,0.18559,0.02467,0.01683,-0.15303,0.00054,-0.20256,0.17232,-0.02447,0.02977,-0.12837,-0.04189,-0.25107,0.14632,-0.03936,0.0067,-0.07983,-0.02446,-0.26245,0.17889,-0.00901,0.01198,-0.13426,-0.00524,-0.21551,0.09056,-0.00051,0.04894,-0.08804,0.00325,-0.04738,0.12244,-0.38864,0.09251,-0.05446,-0.32253,0.00298,0.12374,-0.66871,0.30932,-0.09538,-0.63489,0.2372,0.10611,-0.70005,0.33643,-0.09898,-0.66128,0.2189,0.1676,-0.73649,0.30849,-0.07632,-0.7016,0.15217
0.01131,0.59647,-0.32967,0.02481,0.62054,-0.32146,0.02563,0.61972,-0.30938,0.02524,0.61994,-0.31411,0.00131,0.63155,-0.33963,0.00076,0.62882,-0.35236,0.00686,0.61527,-0.33253,0.06308,0.62453,-0.21263,-0.07297,0.57487,-0.24291,0.0403,0.59396,-0.27636,0.00455,0.55799,-0.30966,0.14953,0.47059,-0.07341,-0.13757,0.51786,-0.1041,0.1797,0.26084,-0.02893,-0.1762,0.21903,-0.14858,0.17982,0.02442,0.01659,-0.15305,-0.0009,-0.20127,0.16474,-0.02467,0.02983,-0.1286,-0.04348,-0.24983,0.13925,-0.03938,0.00679,-0.08011,-0.02646,-0.26122,0.17307,-0.00907,0.01177,-0.13437,-0.00665,-0.21446,0.09059,-0.00056,0.04892,-0.08808,0.00331,-0.04737,0.12233,-0.39562,0.08438,-0.05425,-0.32647,0.00133,0.12351,-0.68784,0.29348,-0.09327,-0.63823,0.23425,0.10584,-0.72035,0.31948,-0.09663,-0.66469,0.21562,0.16841,-0.75494,0.29001,-0.07493,-0.7061,0.14963
0.01423,0.59657,-0.32675,0.02702,0.62075,-0.31805,0.02782,0.61996,-0.30594,0.02743,0.62016,-0.31069,0.0032,0.63164,-0.3367,0.00267,0.6289,-0.34938,0.00877,0.61534,-0.32961,0.06426,0.62533,-0.20838,-0.07259,0.57487,-0.24049,0.04294,0.59422,-0.27283,0.00693,0.558,-0.30665,0.15009,0.47074,-0.06757,-0.13543,0.5179,-0.10407,0.17958,0.26059,-0.02392,-0.17336,0.21903,-0.14854,0.18028,0.02441,0.02256,-0.15117,-0.0015,-0.20031,0.16571,-0.02469,0.03669,-0.12713,-0.04439,-0.24873,0.14004,-0.03927,0.01357,-0.07889,-0.02782,-0.25981,0.17356,-0.00902,0.01772,-0.13279,-0.00736,-0.21348,0.09055,-0.00057,0.04981,-0.08804,0.00335,-0.04829,0.12277,-0.39646,0.08423,-0.05144,-0.32868,-0.00034,0.1235,-0.69292,0.28381,-0.08876,-0.64126,0.22801,0.1058,-0.72584,0.30808,-0.0918,-0.66787,0.20853,0.17228,-0.75922,0.27745,-0.06332,-0.70992,0.14265
0.01441,0.59659,-0.32472,0.02717,0.62077,-0.316,0.02802,0.61997,-0.30379,0.02761,0.62018,-0.30863,0.00333,0.63165,-0.33451,0.00282,0.6289,-0.34719,0.0089,0.61534,-0.32742,0.06469,0.62536,-0.20704,-0.0725,0.57487,-0.2384,0.04321,0.59424,-0.27085,0.00717,0.55797,-0.30453,0.14993,0.47018,-0.06597,-0.13343,0.51792,-0.10379,0.16899,0.25776,-0.02225,-0.16985,0.219,-0.1474,0.16431,0.02122,0.02766,-0.1477,-0.00321,-0.19089,0.14876,-0.02806,0.04297,-0.12322,-0.04702,-0.23768,0.12478,-0.04203,0.02007,-0.07591,-0.03084,-0.24856,0.1582,-0.01158,0.02297,-0.12962,-0.00908,-0.20412,0.09043,-0.00068,0.05006,-0.08795,0.0035,-0.0486,0.12418,-0.39753,0.08374,-0.05032,-0.32891,-0.00079,0.12879,-0.69944,0.27242,-0.08812,-0.64448,0.22095,0.11152,-0.73278,0.29502,-0.09126,-0.67157,0.20029,0.18096,-0.76517,0.26461,-0.06205,-0.71193,0.13501
0.01313,0.5968,-0.32471,0.02639,0.62089,-0.31602,0.02731,0.6201,-0.30379,0.02683,0.62027,-0.30864,0.00258,0.63181,-0.3342,0.00211,0.62905,-0.34684,0.00813,0.61549,-0.32708,0.06474,0.62514,-0.20715,-0.07252,0.57488,-0.23723,0.04256,0.59431,-0.27101,0.00641,0.55803,-0.3044,0.14995,0.46957,-0.0665,-0.13322,0.51751,-0.1023,0.16965,0.25766,-0.02261,-0.16849,0.21877,-0.14341,0.16453,0.02208,0.02881,-0.14709,-0.00385,-0.18358,0.14876,-0.02719,0.04453,-0.12229,-0.04837,-0.22945,0.12414,-0.04068,0.02159,-0.0754,-0.03217,-0.24097,0.15814,-0.01046,0.02401,-0.12897,-0.00975,-0.1971,0.0904,-0.00069,0.04961,-0.08792,0.00351,-0.04817,0.12417,-0.39848,0.07536,-0.05017,-0.32918,-0.00078,0.12889,-0.70687,0.2559,-0.08838,-0.64875,0.21659,0.11162,-0.74067,0.27756,-0.09159,-0.67639,0.19498,0.18062,-0.77264,0.24334,-0.06479,-0.71348,0.12841
0.0131,0.59629,-0.32483,0.02639,0.62036,-0.31612,0.02732,0.61956,-0.30386,0.02683,0.61971,-0.30871,0.00257,0.63129,-0.33428,0.00212,0.62851,-0.34693,0.00813,0.61495,-0.32715,0.0655,0.62437,-0.20742,-0.07241,0.57454,-0.23707,0.04258,0.59375,-0.27119,0.0064,0.5574,-0.30448,0.15014,0.46836,-0.06749,-0.13298,0.51714,-0.1015,0.17027,0.25694,-0.02339,-0.1685,0.2185,-0.14182,0.16553,0.02212,0.02793,-0.1465,-0.00501,-0.18035,0.15005,-0.02718,0.04335,-0.12091,-0.05075,-0.22553,0.1248,-0.0405,0.02039,-0.07403,-0.03406,-0.23726,0.15897,-0.01037,0.02308,-0.12799,-0.01091,-0.19388,0.0904,-0.00075,0.04934,-0.08793,0.00359,-0.04794,0.12405,-0.40193,0.06735,-0.04996,-0.32933,-0.00114,0.13148,-0.71942,0.24098,-0.08853,-0.65327,0.21194,0.11454,-0.75398,0.26185,-0.09178,-0.68145,0.18996,0.17997,-0.78722,0.22418,-0.06519,-0.71772,0.12257
0.01305,0.59618,-0.32525,0.02642,0.62015,-0.31648,0.02736,0.61936,-0.30416,0.02685,0.61947,-0.30903,0.00262,0.63119,-0.33448,0.00219,0.6284,-0.34712,0.00817,0.61483,-0.32735,0.06589,0.62317,-0.20801,-0.07232,0.57449,-0.2371,0.04257,0.59336,-0.27185,0.00634,0.55726,-0.30487,0.15018,0.46673,-0.0724,-0.13373,0.51679,-0.09952,0.17121,0.25708,-0.02935,-0.16885,0.21829,-0.13725,0.16692,0.02687,0.02447,-0.14664,-0.00522,-0.17377,0.15186,-0.02248,0.0397,-0.12115,-0.05161,-0.21715,0.12649,-0.03505,0.01711,-0.07415,-0.03459,-0.22982,0.1604,-0.00529,0.0194,-0.12807,-0.01107,-0.18743,0.0904,-0.00089,0.04752,-0.08793,0.00372,-0.0462,0.12384,-0.40433,0.05536,-0.05083,-0.32743,0.00038,0.13241,-0.7261,0.23025,-0.09033,-0.65253,0.21317,0.11554,-0.76096,0.25136,-0.09371,-0.68083,0.19101,0.17959,-0.79698,0.21347,-0.07529,-0.71559,0.12628
0.01412,0.59666,-0.32534,0.02814,0.62034,-0.31658,0.02907,0.61956,-0.30427,0.02859,0.61965,-0.30913,0.00467,0.63154,-0.33456,0.0043,0.62876,-0.3472,0.01022,0.61513,-0.32742,0.0676,0.62273,-0.20879,-0.06964,0.57469,-0.23723,0.04333,0.59344,-0.27195,0.00734,0.55764,-0.30492,0.15075,0.46503,-0.07865,-0.1337,0.51675,-0.09841,0.17165,0.25662,-0.04622,-0.16821,0.21839,-0.1357,0.16817,0.02683,-0.00453,-0.14619,-0.0052,-0.17404,0.15333,-0.02267,0.00715,-0.12039,-0.05182,-0.21784,0.12761,-0.03554,-0.0156,-0.07354,-0.03499,-0.23075,0.16152,-0.00543,-0.0106,-0.12753,-0.01109,-0.18787,0.09039,-0.00118,0.04436,-0.08792,0.00402,-0.04306,0.12381,-0.40791,0.05248,-0.051,-0.32537,0.00986,0.1345,-0.73252,0.2311,-0.09482,-0.64976,0.22727,0.1178,-0.7676,0.25271,-0.09911,-0.67791,0.20549,0.17929,-0.80277,0.21597,-0.09307,-0.7069,0.14491
0.01401,0.5967,-0.32556,0.02815,0.62033,-0.31718,0.02908,0.61955,-0.30481,0.02861,0.61963,-0.30968,0.00485,0.63159,-0.33482,0.00446,0.62882,-0.34745,0.01039,0.61517,-0.32768,0.0677,0.62215,-0.21126,-0.06854,0.57519,-0.238,0.04316,0.59344,-0.27265,0.00732,0.55783,-0.30526,0.151,0.46377,-0.08385,-0.13471,0.51717,-0.09659,0.17359,0.25396,-0.04924,-0.16826,0.21832,-0.13074,0.17408,0.01822,-0.00523,-0.14724,-0.00706,-0.17318,0.16153,-0.03198,0.00703,-0.12173,-0.05391,-0.21727,0.13444,-0.04702,-0.01633,-0.07595,-0.0379,-0.23077,0.16752,-0.01544,-0.01147,-0.12889,-0.01332,-0.18736,0.09038,-0.00162,0.04171,-0.08792,0.00444,-0.04037,0.12366,-0.41565,0.04724,-0.05287,-0.32516,0.01601,0.13634,-0.7393,0.23332,-0.10856,-0.64608,0.24219,0.12006,-0.77413,0.25566,-0.11483,-0.67367,0.2214,0.18055,-0.80604,0.21999,-0.11851,-0.69405,0.16319
